x1,y1,x2,y2
46,307,45,364
45,364,54,430
54,430,85,503
85,503,60,560
60,560,80,625
80,625,123,655
123,655,190,664
190,666,272,666
272,666,373,665
373,667,471,669
471,669,536,639
536,639,557,590
557,590,557,531
557,531,529,493
529,493,451,494
451,494,391,467
391,467,373,401
373,401,398,328
398,328,451,296
451,296,522,299
522,299,560,322
562,322,581,373
581,373,564,423
564,423,568,454
568,454,586,495
586,495,609,541
609,541,631,589
631,589,682,644
682,644,769,653
769,653,860,643
862,643,912,562
912,562,910,508
910,508,910,454
910,454,909,395
909,395,957,343
957,343,985,280
985,280,977,215
973,215,925,173
923,173,859,167
859,167,804,185
804,185,770,222
770,222,757,253
757,253,714,260
714,260,665,214
665,214,626,154
626,154,595,112
595,112,503,102
503,102,427,107
427,107,365,134
365,136,287,199
287,199,256,233
256,233,224,233
224,233,209,193
209,193,202,143
202,143,180,61
180,61,101,40
99,40,36,75
36,75,18,138
18,138,19,205
19,205,16,252
16,252,46,307
115,305,118,362
118,362,127,416
127,416,154,477
154,477,145,532
145,532,137,570
137,570,160,577
160,577,212,580
212,580,285,583
285,583,364,587
364,589,444,598
444,598,469,587
469,587,478,572
478,572,466,558
466,558,439,557
439,557,405,545
405,545,328,509
328,509,306,417
306,417,335,306
335,306,428,243
428,243,528,234
528,234,605,268
605,268,649,344
649,344,648,415
648,415,650,451
650,451,661,475
661,475,674,498
674,498,694,549
694,549,722,575
722,575,760,585
760,585,804,575
804,575,826,546
826,546,833,499
833,499,831,441
831,441,835,379
835,377,884,322
884,322,916,280
916,280,923,250
923,250,901,227
901,227,867,223
867,223,841,234
841,234,828,256
828,256,806,297
806,297,699,337
699,337,632,258
632,258,581,207
581,207,551,181
551,181,502,168
502,168,441,168
441,168,388,193
388,193,331,247
331,247,276,302
276,302,183,297
183,299,143,220
143,220,137,159
137,159,127,119
127,119,108,100
108,100,90,117
90,117,80,151
80,151,81,203
81,203,80,254
80,254,115,305
