x1,y1,x2,y2
300,300,300,350
300,350,310,400
310,400,340,430
340,430,370,460
370,460,420,470
420,470,500,470
500,470,550,460
550,460,580,430
580,430,610,400
610,400,620,300
350,300,350,350
350,350,360,390
360,390,390,420
390,420,430,430
430,430,490,430
490,430,530,420
530,420,550,400
550,400,570,390
570,390,580,350
580,350,580,300
300, 300, 300, 250
300, 250, 310, 200
310, 200, 340, 170
340, 170, 370, 140
370, 140, 420, 130
420, 130, 500, 130
500, 130, 550, 140
550, 140, 580, 170
580, 170, 610, 200
610, 200, 620, 300
350, 300, 350, 250
350, 250, 360, 210
360, 210, 390, 180
390, 180, 430, 170
430, 170, 490, 170
490, 170, 530, 180
530, 180, 570, 210
570, 210, 580, 250
580, 250, 580, 270
580, 270, 580, 300
